module:input:0:alpha	module:input:0:density	module:input:0:numVertex	module:measure:PAPI:PAPI_LD_INS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
0.85	0.6	300000	1231033564	3645396967	1.199392	1426649637.766574	1426649636.567174	46740	47596
0.85	0.7	300000	1375499293	4070633499	1.424388	1426649422.882625	1426649421.458227	50648	50968
0.85	0.7	300000	1375464351	4070633478	1.35652	1426649532.082526	1426649530.725995	50648	50968
0.85	0.7	300000	1375464481	4070633480	1.355827	1426649640.583327	1426649639.227489	50648	50968
0.85	0.4	100000	280970494	843896447	0.30512	1426649388.264919	1426649387.959791	12228	12384
0.85	0.8	300000	1517618769	4490715739	1.570743	1426649425.964328	1426649424.393576	53792	54452
0.85	0.8	300000	1517666103	4490716098	1.517579	1426649535.106489	1426649533.58885	50024	54452
0.85	0.8	300000	1517597680	4490715738	1.511217	1426649643.61837	1426649642.107143	53792	54452
0.85	0.2	400000	688190116	2048691014	0.6980229999999999	1426649428.294135	1426649427.596103	31692	35700
0.85	0.2	400000	688186908	2048691020	0.630844	1426649537.365783	1426649536.734929	31692	35700
0.85	0.2	400000	688184889	2048691006	0.631547	1426649645.914599	1426649645.283042	31692	35700
0.85	0.3	400000	966543301	2867126577	0.984497	1426649430.577963	1426649429.593456	40468	43768
0.85	0.3	400000	966526438	2867126577	0.9098000000000001	1426649539.569171	1426649538.659362	40468	43768
0.85	0.3	400000	966528526	2867126582	0.910164	1426649648.116272	1426649647.206098	40468	43768
0.85	0.4	400000	1257343093	3731516843	1.273137	1426649433.234537	1426649431.961389	52392	58752
0.85	0.4	100000	280969574	843896430	0.253385	1426649498.546925	1426649498.293532	12228	12384
0.85	0.4	400000	1257314619	3731516855	1.211663	1426649542.156791	1426649540.945118	52392	58752
0.85	0.4	400000	1257321558	3731516892	1.213012	1426649650.696319	1426649649.483298	52392	58752
0.85	0.5	400000	1482429070	4395224849	1.531949	1426649436.209234	1426649434.677276	57456	63308
0.85	0.5	400000	1482447377	4395225191	1.459807	1426649545.058142	1426649543.598275	53660	63308
0.85	0.5	400000	1482383849	4395224838	1.452621	1426649653.592746	1426649652.140114	57456	63308
0.85	0.6	400000	1697021214	5024938412	1.741623	1426649439.504799	1426649437.763165	63576	68940
