module:pub_input::iter	module:pub_input::its	module:pub_input::numElem	module:pub_input::numNode	module:pub_input::nx	module:pub_input::phase	module:measure:time:time
0	600	21952	24389	28	0	0.033843
0	600	21952	24389	28	0	0.033841
0	600	21952	24389	28	0	0.033896
0	100	27000	29791	30	0	0.037061
0	100	27000	29791	30	0	0.037049
0	100	27000	29791	30	0	0.037031
0	20	27000	29791	30	0	0.037107
0	20	27000	29791	30	0	0.037066
0	20	27000	29791	30	0	0.03714
0	200	27000	29791	30	0	0.037062
0	200	27000	29791	30	0	0.037091
0	200	27000	29791	30	0	0.037152
0	30	27000	29791	30	0	0.03714
0	30	27000	29791	30	0	0.037156
0	30	27000	29791	30	0	0.037082
0	300	27000	29791	30	0	0.037078
0	300	27000	29791	30	0	0.03705
0	300	27000	29791	30	0	0.037048
0	400	27000	29791	30	0	0.037143
0	400	27000	29791	30	0	0.037088
0	400	27000	29791	30	0	0.037089
0	50	27000	29791	30	0	0.037127
0	50	27000	29791	30	0	0.03719
0	50	27000	29791	30	0	0.037046
0	500	27000	29791	30	0	0.037046
0	500	27000	29791	30	0	0.037077
0	500	27000	29791	30	0	0.037103
0	600	27000	29791	30	0	0.037175
0	600	27000	29791	30	0	0.037156
0	600	27000	29791	30	0	0.037057
0	100	42875	46656	35	0	0.046528
0	100	42875	46656	35	0	0.046467
0	100	42875	46656	35	0	0.046528
0	20	42875	46656	35	0	0.046728
0	20	42875	46656	35	0	0.04658
0	20	42875	46656	35	0	0.046546
0	200	42875	46656	35	0	0.046533
0	200	42875	46656	35	0	0.046443
0	200	42875	46656	35	0	0.046458
0	30	42875	46656	35	0	0.046488
0	30	42875	46656	35	0	0.046537
0	30	42875	46656	35	0	0.046562
0	300	42875	46656	35	0	0.049528
0	300	42875	46656	35	0	0.046477
0	300	42875	46656	35	0	0.046457
0	400	42875	46656	35	0	0.046491
0	400	42875	46656	35	0	0.046471
0	400	42875	46656	35	0	0.04646
0	50	42875	46656	35	0	0.046431
0	50	42875	46656	35	0	0.046463
0	50	42875	46656	35	0	0.046482
0	500	42875	46656	35	0	0.046421
0	500	42875	46656	35	0	0.046447
0	500	42875	46656	35	0	0.046515
0	600	42875	46656	35	0	0.046451
0	600	42875	46656	35	0	0.046546
0	600	42875	46656	35	0	0.046569
0	100	64000	68921	40	0	0.063849
0	100	64000	68921	40	0	0.06396
0	100	64000	68921	40	0	0.06382500000000001
0	20	64000	68921	40	0	0.064098
0	20	64000	68921	40	0	0.063823
0	20	64000	68921	40	0	0.06384099999999999
0	200	64000	68921	40	0	0.06378200000000001
0	200	64000	68921	40	0	0.06393799999999999
0	200	64000	68921	40	0	0.063806
0	30	64000	68921	40	0	0.06390700000000001
0	30	64000	68921	40	0	0.064202
