module:input:0:alpha	module:input:0:density	module:input:0:numVertex	module:measure:PAPI:PAPI_LD_INS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:diff	module:output:0:num_iterations
0.5	0	100000	149129398	395627515	0.078555	1426613384.448219	1426613384.369657	4.503418826645944e-06	9
0.5	0	100000	149129649	395627516	0.078735	1426614033.303275	1426614033.224533	4.503418826645944e-06	9
0.5	0	100000	149129523	395627515	0.07872	1426614682.382348	1426614682.303621	4.503418826645944e-06	9
0.7	0	100000	182624323	484437439	0.09607	1426613386.131948	1426613386.035871	1.825030725427538e-06	11
0.7	0	100000	182624611	484437439	0.096039	1426614034.995722	1426614034.899676	1.825030725427538e-06	11
0.7	0	100000	182624642	484437439	0.095836	1426614684.071837	1426614683.975993	1.825030725427538e-06	11
0.8	0	100000	182624587	484437440	0.096481	1426613387.809941	1426613387.713454	7.043900397513023e-06	11
0.8	0	100000	182624674	484437439	0.096258	1426614036.688011	1426614036.591746	7.043900397513023e-06	11
0.8	0	100000	182624769	484437438	0.096041	1426614685.763416	1426614685.667368	7.043900397513023e-06	11
0.99	0	100000	216119721	573247362	0.113375	1426613391.196688	1426613391.083306	3.802045851996068e-06	13
0.99	0	100000	216119603	573247363	0.113389	1426614040.078977	1426614039.965581	3.802045851996068e-06	13
0.99	0	100000	216119868	573247363	0.113285	1426614689.151823	1426614689.038532	3.802045851996068e-06	13
0.9	0	100000	199372055	528842401	0.1047	1426613389.496765	1426613389.392058	4.875661874841828e-06	12
0.9	0	100000	199372101	528842401	0.104923	1426614038.377833	1426614038.272903	4.875661874841828e-06	12
0.9	0	100000	199372453	528842401	0.10471	1426614687.454865	1426614687.350147	4.875661874841828e-06	12
0.3	0	200000	93071537	244880560	0.044906	1426613392.683778	1426613392.638866	1.325464379432108e-06	8
0.3	0	200000	93071401	244880560	0.044777	1426614041.533264	1426614041.48848	1.325464379432108e-06	8
0.3	0	200000	93071606	244880560	0.04494	1426614690.622398	1426614690.577451	1.325464379432108e-06	8
0.5	0	200000	116679735	306948003	0.056038	1426613394.139984	1426613394.083939	2.160144394083326e-06	10
0.5	0	200000	116679966	306948003	0.056018	1426614042.987822	1426614042.931797	2.160144394083326e-06	10
