module:input:0:its	module:input:0:nx	module:input:1:MaxAbsDiff	module:input:1:MaxRelDiff	module:input:1:TotalAbsDiff	module:input:1:iter	module:input:1:numElem	module:input:1:numNode	module:input:1:phase	module:pub_input::its	module:pub_input::nx	module:measure:time:time	module:output:0:MaxAbsDiff	module:output:0:MaxRelDiff	module:output:0:TotalAbsDiff
200	35	0	0	0	0	42875	46656	0	200	35	46.523122	0.041015625	0.0001046340839820914	0.3227866291999817
200	35	0	0	0	0	42875	46656	0	200	35	46.523092	0.041015625	0.0001046340839820914	0.3227866291999817
200	35	0	0	0	0	42875	46656	0	200	35	46.491453	0.041015625	0.0001046340839820914	0.3227866291999817
30	35	0	0	0	0	42875	46656	0	30	35	6.980926	0.125	0.00367034669034183	0.1631086766719818
30	35	0	0	0	0	42875	46656	0	30	35	6.987827	0.125	0.00367034669034183	0.1631086766719818
30	35	0	0	0	0	42875	46656	0	30	35	6.989091	0.125	0.00367034669034183	0.1631086766719818
300	35	0	0	0	0	42875	46656	0	300	35	69.846136	0.0546875	0.006900518666952848	0.4580672681331635
300	35	0	0	0	0	42875	46656	0	300	35	69.76349999999999	0.0546875	0.006900518666952848	0.4580672681331635
300	35	0	0	0	0	42875	46656	0	300	35	69.763053	0.0546875	0.006900518666952848	0.4580672681331635
400	35	0	0	0	0	42875	46656	0	400	35	84.51895	0.03515625	0.0002230914105894044	0.3811652362346649
400	35	0	0	0	0	42875	46656	0	400	35	84.429839	0.03515625	0.0002230914105894044	0.3811652362346649
400	35	0	0	0	0	42875	46656	0	400	35	84.435919	0.03515625	0.0002230914105894044	0.3811652362346649
50	35	0	0	0	0	42875	46656	0	50	35	11.626742	0.09375	0.02353886142373085	0.1937041580677032
50	35	0	0	0	0	42875	46656	0	50	35	11.635837	0.09375	0.02353886142373085	0.1937041580677032
50	35	0	0	0	0	42875	46656	0	50	35	11.63452	0.09375	0.02353886142373085	0.1937041580677032
500	35	0	0	0	0	42875	46656	0	500	35	84.463105	0.03515625	0.0002230914105894044	0.3811652362346649
500	35	0	0	0	0	42875	46656	0	500	35	84.474604	0.03515625	0.0002230914105894044	0.3811652362346649
500	35	0	0	0	0	42875	46656	0	500	35	84.39918	0.03515625	0.0002230914105894044	0.3811652362346649
600	35	0	0	0	0	42875	46656	0	600	35	84.56941999999999	0.03515625	0.0002230914105894044	0.3811652362346649
600	35	0	0	0	0	42875	46656	0	600	35	84.531154	0.03515625	0.0002230914105894044	0.3811652362346649
600	35	0	0	0	0	42875	46656	0	600	35	84.45481100000001	0.03515625	0.0002230914105894044	0.3811652362346649
100	40	0	0	0	0	64000	68921	0	100	40	33.583259	0.1875	0.00257421494461596	0.5021898150444031
100	40	0	0	0	0	64000	68921	0	100	40	33.572765	0.1875	0.00257421494461596	0.5021898150444031
100	40	0	0	0	0	64000	68921	0	100	40	33.591265	0.1875	0.00257421494461596	0.5021898150444031
20	40	0	0	0	0	64000	68921	0	20	40	6.720345	0.1875	0.0007821935578249395	0.215335950255394
20	40	0	0	0	0	64000	68921	0	20	40	6.725604	0.1875	0.0007821935578249395	0.215335950255394
20	40	0	0	0	0	64000	68921	0	20	40	6.724741	0.1875	0.0007821935578249395	0.215335950255394
200	40	0	0	0	0	64000	68921	0	200	40	67.15593200000001	0.171875	1.735261866997462e-05	1.127320885658264
200	40	0	0	0	0	64000	68921	0	200	40	67.151737	0.171875	1.735261866997462e-05	1.127320885658264
200	40	0	0	0	0	64000	68921	0	200	40	67.133264	0.171875	1.735261866997462e-05	1.127320885658264
30	40	0	0	0	0	64000	68921	0	30	40	10.082962	0.25	0.006524143740534782	0.2697181105613708
30	40	0	0	0	0	64000	68921	0	30	40	10.084619	0.25	0.006524143740534782	0.2697181105613708
30	40	0	0	0	0	64000	68921	0	30	40	10.080841	0.25	0.006524143740534782	0.2697181105613708
300	40	0	0	0	0	64000	68921	0	300	40	100.792319	0.15625	0.004296359606087208	0.7332749366760254
300	40	0	0	0	0	64000	68921	0	300	40	100.746751	0.15625	0.004296359606087208	0.7332749366760254
300	40	0	0	0	0	64000	68921	0	300	40	100.738742	0.15625	0.004296359606087208	0.7332749366760254
400	40	0	0	0	0	64000	68921	0	400	40	134.477291	0.0390625	0.000175028049852699	0.7090670466423035
400	40	0	0	0	0	64000	68921	0	400	40	134.397463	0.0390625	0.000175028049852699	0.7090670466423035
400	40	0	0	0	0	64000	68921	0	400	40	134.376127	0.0390625	0.000175028049852699	0.7090670466423035
50	40	0	0	0	0	64000	68921	0	50	40	16.797412	0.1875	0.0137790571898222	0.419161468744278
50	40	0	0	0	0	64000	68921	0	50	40	16.816772	0.1875	0.0137790571898222	0.419161468744278
50	40	0	0	0	0	64000	68921	0	50	40	16.801991	0.1875	0.0137790571898222	0.419161468744278
500	40	0	0	0	0	64000	68921	0	500	40	144.893623	0.037109375	0.0003211332659702748	0.7283897995948792
500	40	0	0	0	0	64000	68921	0	500	40	144.812733	0.037109375	0.0003211332659702748	0.7283897995948792
500	40	0	0	0	0	64000	68921	0	500	40	144.795145	0.037109375	0.0003211332659702748	0.7283897995948792
600	40	0	0	0	0	64000	68921	0	600	40	144.852833	0.037109375	0.0003211332659702748	0.7283897995948792
600	40	0	0	0	0	64000	68921	0	600	40	144.78585	0.037109375	0.0003211332659702748	0.7283897995948792
600	40	0	0	0	0	64000	68921	0	600	40	144.89527	0.037109375	0.0003211332659702748	0.7283897995948792
100	15	0.0078125	0.001371321035549045	0.03245861455798149	100	3375	4096	1	100	15	6e-06	0.0078125	0.001371321035549045	0.03245861455798149
100	15	0.0078125	0.001371321035549045	0.03245861455798149	100	3375	4096	1	100	15	6e-06	0.0078125	0.001371321035549045	0.03245861455798149
100	15	0.0078125	0.001371321035549045	0.03245861455798149	100	3375	4096	1	100	15	6e-06	0.0078125	0.001371321035549045	0.03245861455798149
20	15	0.01953125	4.711175643024035e-05	0.01972990110516548	20	3375	4096	1	20	15	6e-06	0.01953125	4.711175643024035e-05	0.01972990110516548
20	15	0.01953125	4.711175643024035e-05	0.01972990110516548	20	3375	4096	1	20	15	6e-06	0.01953125	4.711175643024035e-05	0.01972990110516548
20	15	0.01953125	4.711175643024035e-05	0.01972990110516548	20	3375	4096	1	20	15	6e-06	0.01953125	4.711175643024035e-05	0.01972990110516548
200	15	0.0078125	0.002270226133987308	0.03368514403700829	101	3375	4096	1	200	15	1.949665	0.00390625	0.0002870224125217646	0.02709980867803097
200	15	0.0078125	0.002270226133987308	0.03368514403700829	101	3375	4096	1	200	15	1.949653	0.00390625	0.0002870224125217646	0.02709980867803097
200	15	0.0078125	0.002270226133987308	0.03368514403700829	101	3375	4096	1	200	15	1.951467	0.00390625	0.0002870224125217646	0.02709980867803097
30	15	0.01171875	0.01198113150894642	0.01174568571150303	30	3375	4096	1	30	15	6e-06	0.01171875	0.01198113150894642	0.01174568571150303
30	15	0.01171875	0.01198113150894642	0.01174568571150303	30	3375	4096	1	30	15	6e-06	0.01171875	0.01198113150894642	0.01174568571150303
30	15	0.01171875	0.01198113150894642	0.01174568571150303	30	3375	4096	1	30	15	6e-06	0.01171875	0.01198113150894642	0.01174568571150303
300	15	0.0078125	0.002270226133987308	0.03368514403700829	101	3375	4096	1	300	15	1.948056	0.00390625	0.0002870224125217646	0.02709980867803097
